id,item,calories,fat,carb,fiber,protein,type
1,"Caffe Latte",190,7,19,0,12,Beverage
2,Cappuccino,120,4.5,12,0,8,Beverage
3,Espresso,5,0.2,1,0,1,Beverage
4,Americano,15,0.1,3,0,1,Beverage
5,Mocha,290,10,35,1,9,Beverage
6,"Caramel Macchiato",250,10,35,1,8,Beverage
7,"Paneer Sandwich",400,15,45,3,12,Food
8,"Iced Coffee",120,3.5,20,0,2,Beverage
9,"Cold Brew",5,0.1,2,0,1,Beverage
10,Frappuccino,300,12,40,1,6,Beverage
11,"Blueberry Muffin",320,14,45,2,5,Food
12,"Chocolate Croissant",300,18,30,2,6,Food
13,"Veg Sandwich",350,12,40,4,10,Food
14,"Chicken Sandwich",380,14,35,2,18,Food
15,"Paneer Wrap",400,15,45,3,12,Food
16,"Cheese Burger",450,20,38,2,15,Food
17,"Grilled Chicken Wrap",420,16,30,2,20,Food
18,"Veg Puff",280,13,32,2,6,Food
19,Brownie,350,18,42,2,5,Food
20,"Chocolate Donut",270,14,33,1,4,Food
