transaction_id,store_id,sale_datetime,customer_id,item_id,quantity,price,total_amount,payment_mode,customer_type
T008,101,"2025-04-16 09:10:00",C006,6,1,300.00,300.00,UPI,New
T009,102,"2025-04-16 20:25:00",C007,7,2,200.00,400.00,Card,Regular
T200,101,"2025-04-19 08:10:00",C001,1,2,250.00,500.00,UPI,Regular
T201,102,"2025-04-19 09:20:00",C002,2,1,200.00,200.00,Card,New
T202,103,"2025-04-19 10:30:00",C003,3,3,100.00,300.00,Cash,Regular
T203,101,"2025-04-19 11:15:00",C004,4,2,150.00,300.00,UPI,Regular
T204,102,"2025-04-19 12:40:00",C005,5,1,180.00,180.00,Card,New
T205,103,"2025-04-19 13:10:00",C006,6,2,300.00,600.00,UPI,Regular
T206,101,"2025-04-19 14:25:00",C007,7,1,220.00,220.00,Cash,New
T207,102,"2025-04-19 15:35:00",C008,8,3,150.00,450.00,UPI,Regular
T208,103,"2025-04-19 16:50:00",C009,9,2,200.00,400.00,Card,Regular
T209,101,"2025-04-19 17:15:00",C010,10,1,320.00,320.00,UPI,New
T210,102,"2025-04-19 18:20:00",C011,11,2,250.00,500.00,Cash,Regular
T211,103,"2025-04-19 19:40:00",C012,12,1,180.00,180.00,UPI,New
T212,101,"2025-04-19 20:10:00",C013,13,2,240.00,480.00,Card,Regular
T213,102,"2025-04-19 21:30:00",C014,14,1,260.00,260.00,Cash,New
T214,103,"2025-04-19 22:00:00",C015,15,2,280.00,560.00,UPI,Regular
T215,101,"2025-04-19 08:45:00",C016,16,1,300.00,300.00,Card,New
T216,102,"2025-04-19 09:55:00",C017,17,2,270.00,540.00,UPI,Regular
T217,103,"2025-04-19 10:05:00",C018,18,3,120.00,360.00,Cash,New
T218,101,"2025-04-19 11:50:00",C019,19,1,150.00,150.00,UPI,Regular
T219,102,"2025-04-19 12:20:00",C020,20,2,130.00,260.00,Card,Regular
T220,103,"2025-04-19 13:30:00",C001,1,1,250.00,250.00,Cash,New
